Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Feature: Leads Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Leads Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Leads Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Lead,Task,Psitrix Psynq,Feature: Leads Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/entities/lead.entity.ts`
**Class:** `Lead`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Lead'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Lead,Task,Psitrix Psynq,Feature: Leads Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/dto/create-lead.dto.ts`
**File:** `packages/backend/src/modules/leads/dto/update-lead.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Lead'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: LeadService,Task,Psitrix Psynq,Feature: Leads Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/lead.service.ts`
**Class:** `LeadService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: LeadService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: LeadController,Task,Psitrix Psynq,Feature: Leads Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/lead.controller.ts`
**Class:** `LeadController`
**Endpoints:**
- `POST /api/v1/leads`
- `GET /api/v1/leads`
- `GET /api/v1/leads/:id`
- `PATCH /api/v1/leads/:id`
- `DELETE /api/v1/leads/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: LeadController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: LeadService,Task,Psitrix Psynq,Feature: Leads Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/lead.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: LeadService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Lead,Task,Psitrix Psynq,Feature: Leads Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/lead.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Lead'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Lead,Task,Psitrix Psynq,Feature: Leads Module,Low,New,2026-06-15,2026-06-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/leads/lead.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Lead'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: Lead,Task,Psitrix Psynq,Feature: Leads Module,High,New,2026-06-14,2026-06-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateLeadTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: Lead'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: Lead,Task,Psitrix Psynq,Feature: Leads Module,Low,New,2026-06-16,2026-06-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/lead.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: Lead'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Dnc Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Dnc Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Dnc Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/entities/dncnumber.entity.ts`
**Class:** `DncNumber`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: DncNumber'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/dto/create-dncnumber.dto.ts`
**File:** `packages/backend/src/modules/compliance/dto/update-dncnumber.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: DncNumber'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: DncNumberService,Task,Psitrix Psynq,Feature: Dnc Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/dncnumber.service.ts`
**Class:** `DncNumberService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: DncNumberService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: DncNumberController,Task,Psitrix Psynq,Feature: Dnc Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/dncnumber.controller.ts`
**Class:** `DncNumberController`
**Endpoints:**
- `POST /api/v1/dncnumbers`
- `GET /api/v1/dncnumbers`
- `GET /api/v1/dncnumbers/:id`
- `PATCH /api/v1/dncnumbers/:id`
- `DELETE /api/v1/dncnumbers/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: DncNumberController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: DncNumberService,Task,Psitrix Psynq,Feature: Dnc Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/dncnumber.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: DncNumberService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/dncnumber.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: DncNumber'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,Low,New,2026-06-15,2026-06-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/compliance/dncnumber.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: DncNumber'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,High,New,2026-06-14,2026-06-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateDncNumberTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: DncNumber'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: DncNumber,Task,Psitrix Psynq,Feature: Dnc Module,Low,New,2026-06-16,2026-06-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/dncnumber.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: DncNumber'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Billing Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Billing Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Billing Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/entities/billingrecord.entity.ts`
**Class:** `BillingRecord`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: BillingRecord'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/dto/create-billingrecord.dto.ts`
**File:** `packages/backend/src/modules/billing/dto/update-billingrecord.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: BillingRecord'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: BillingRecordService,Task,Psitrix Psynq,Feature: Billing Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/billingrecord.service.ts`
**Class:** `BillingRecordService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: BillingRecordService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: BillingRecordController,Task,Psitrix Psynq,Feature: Billing Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/billingrecord.controller.ts`
**Class:** `BillingRecordController`
**Endpoints:**
- `POST /api/v1/billingrecords`
- `GET /api/v1/billingrecords`
- `GET /api/v1/billingrecords/:id`
- `PATCH /api/v1/billingrecords/:id`
- `DELETE /api/v1/billingrecords/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: BillingRecordController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: BillingRecordService,Task,Psitrix Psynq,Feature: Billing Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/billingrecord.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: BillingRecordService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/billingrecord.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: BillingRecord'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,Low,New,2026-06-15,2026-06-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/billingrecord.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: BillingRecord'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
DB Migration: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,High,New,2026-06-14,2026-06-15,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/migrations/CreateBillingRecordTable.ts`
**Requirements:**
- Up method (create table)
- Down method (drop table)
- Indexes and constraints",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'DB Migration: BillingRecord'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Seed Data: BillingRecord,Task,Psitrix Psynq,Feature: Billing Module,Low,New,2026-06-16,2026-06-17,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/seeds/billingrecord.seed.ts`
**Requirements:**
- Create default/test data
- Handle relationships",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Seed Data: BillingRecord'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: Invoices Module,Feature,Psitrix Psynq,Epic: Backend Modules Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Invoices Implementation,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: Invoices Module'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,High,New,2026-06-14,2026-06-16,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/entities/invoice.entity.ts`
**Class:** `Invoice`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: Invoice'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,Normal,New,2026-06-14,2026-06-15,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/dto/create-invoice.dto.ts`
**File:** `packages/backend/src/modules/billing/dto/update-invoice.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: Invoice'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: InvoiceService,Task,Psitrix Psynq,Feature: Invoices Module,High,New,2026-06-15,2026-06-18,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/invoice.service.ts`
**Class:** `InvoiceService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: InvoiceService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: InvoiceController,Task,Psitrix Psynq,Feature: Invoices Module,High,New,2026-06-16,2026-06-18,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/invoice.controller.ts`
**Class:** `InvoiceController`
**Endpoints:**
- `POST /api/v1/invoices`
- `GET /api/v1/invoices`
- `GET /api/v1/invoices/:id`
- `PATCH /api/v1/invoices/:id`
- `DELETE /api/v1/invoices/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: InvoiceController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Unit Tests: InvoiceService,Task,Psitrix Psynq,Feature: Invoices Module,Normal,New,2026-06-17,2026-06-19,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/invoice.service.spec.ts`
**Requirements:**
- 100% coverage for service methods
- Test success and error cases
- Mock repository only (unit test)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Unit Tests: InvoiceService'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Integration Tests: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,Normal,New,2026-06-18,2026-06-20,Developer,4h,"Backend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `test/invoice.integration-spec.ts`
**Requirements:**
- Test database interactions
- Test service integration
- Test event emission",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Integration Tests: Invoice'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Swagger Docs: Invoice,Task,Psitrix Psynq,Feature: Invoices Module,Low,New,2026-06-15,2026-06-16,Developer,4h,"Backend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/billing/invoice.controller.ts`
**Requirements:**
- Add @ApiOperation
- Add @ApiResponse
- Add @ApiProperty to DTOs",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Swagger Docs: Invoice'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
